date,vendor,time,attendees,site,end
2025-05-07,Steel City Ukeleles ,7pm,,https://www.meetup.com/steel-city-ukuleles/?_gl=1*cm16s5*_up*MQ..*_ga*MTAxNjM4MDg1Ni4xNzQyOTE1NzAz*_ga_NP82XMKW0P*MTc0MzY5ODM4Ni40LjAuMTc0MzY5ODM4Ni42MC4wLjA.,
2025-05-08,Open Mic Night by Nadiya,7:30pm,,https://www.instagram.com/nadsnotfunny?igsh=dWhxMGtwYWw1czNn,
2025-05-09,I Lolev Karaoke ,9-11:30pm,,https://www.instagram.com/lolevbeer?igsh=MWpmdGRxNGI0c3BtZg%3D%3D&utm_source=qr,
2025-05-10,Eeeek! Adult Book Fair  ,12-3pm ,,https://www.facebook.com/share/1EkpeHRHEJ/,
2025-05-13,Dollar Taco Tuesday ,5-8pm ,,https://www.instagram.com/p/DIeBUj_Mh7d/?igsh=Mm5ka3VnZDV0OWJx,
2025-05-17,Pour at the Park,4:30-8:30pm,,,
2025-05-20,Dollar Taco Tuesday ,5-8pm,,https://www.instagram.com/lolevbeer/,
2025-05-21,Steel City Ukeleles ,7pm,,https://www.meetup.com/steel-city-ukuleles/?_gl=1*cm16s5*_up*MQ..*_ga*MTAxNjM4MDg1Ni4xNzQyOTE1NzAz*_ga_NP82XMKW0P*MTc0MzY5ODM4Ni40LjAuMTc0MzY5ODM4Ni42MC4wLjA.,
2025-05-22,Open Mic Night by Nadiya ,7pm,,https://www.instagram.com/nadsnotfunny?igsh=MWRkbGs5MDY0ZGtmMQ==,
2025-05-27,Dollar Taco Tuesday ,5-8pm,,https://www.instagram.com/lolevbeer/,
2025-05-29,Open Mic Night by Nadiya ,7pm,,https://www.instagram.com/nadsnotfunny?igsh=MWRkbGs5MDY0ZGtmMQ==,
2025-05-30,Iron City Boulders Pop Up,6-10pm,,,
2025-05-31,I Lolev Karaoke ,9-11:30pm ,,https://www.instagram.com/lolevbeer/,
2025-06-03,Hillman Science Chilled and Distilled ,6pm ,,https://www.facebook.com/events/603824106063557/?rdid=sxOB1J8v4RthVQlF&share_url=https%3A%2F%2Fwww.facebook.com%2Fshare%2F1APfnuoUZR#,
2025-06-03,Love Island Watch Party ,8:30pm ,,,
2025-06-04,Steel City Ukeleles ,7pm,,https://www.meetup.com/steel-city-ukuleles/?_gl=1*cm16s5*_up*MQ..*_ga*MTAxNjM4MDg1Ni4xNzQyOTE1NzAz*_ga_NP82XMKW0P*MTc0MzY5ODM4Ni40LjAuMTc0MzY5ODM4Ni42MC4wLjA.,
2025-06-05,Open Mic Night by Abby, 7:30pm ,,https://www.instagram.com/itsabbye?igsh=dXp6OWpveXc2b3Fn,
2025-06-07,Dog of the Month Social ,2-4:30pm ,,https://docs.google.com/forms/d/11Atx6euKk-gpIpwGW7dVx00wMOtnTHSRVMADlTazwRg/viewform?edit_requested=true,
2025-06-07,Beers of the Burgh ,,,https://www.beersoftheburgh.com/,
2025-06-07,Real Beer Expo Rochester,,,https://www.rochesterrealbeer.com/,
2025-06-12,Open Mic Night by Abby ,7:30pm ,,https://www.instagram.com/itsabbye?igsh=dXp6OWpveXc2b3Fn,
2025-06-13,Pittsburgh FIT Pride vendor ,5-8pm ,,https://www.pittsburghfit.com,
2025-06-13,I Lolev Karaoke ,9-11:30pm,,https://www.eventbrite.com/e/i-lolev-karaoke-pride-edition-tickets-1404833216969?aff=oddtdtcreator,
2025-06-14,Babesburgh,3-8pm,,https://www.tickettailor.com/events/babesburgh/1478877?,
2025-06-14,Mars Brew Fest,5-8pm,,https://www.eventbrite.com/e/10th-mars-brew-fest-2025-tickets-1307180184119?aff=erelexpmlt,
